site,B건물수,BnotC_건물수,BnotC_%,DnotB_건물수,DnotB_%,우회비_중앙값,우회비_p90,추가주행_중앙값_m,컷라인_0%_m,컷라인_5%_m,근사컷라인_m,도로공백_%,평균추가주행_km,도달불가_건물수,동일건물수_필요속도_kmh
옥수,10845,8345,76.94790225910558,11,0.10142923005993545,1.4992214571231348,1.713471012679561,732.8945203949288,187.0044579398596,1286.7172136089523,2001.0385962302848,13.989545494817046,0.8052096468255046,24,24.39413078265174
신림,11786,2490,21.12676056338028,256,2.172068555913796,1.2685345692138668,1.5255825358380328,417.6197932260784,88.5414765461076,2404.766631184732,2364.9335799016917,8.655975901479579,0.45567034086608793,29,21.864145784274832
화곡,11755,3374,28.702679710761377,24,0.20416843896214376,1.3266818745362292,1.5173335473691119,553.8691111695703,1328.3058284788551,2297.3777446934746,2261.280611110117,8.983786657216267,0.6533522101946397,46,24.496319067525487
